Season,Player,Position,Age,Team,Games_Played,Games_Started,Minutes_Played,Field_Goals_Made,Field_Goals_Attempted,Field_Goal_%,3_Pointers_Made,3_Pointers_Attempted,3_Point_%,2_Pointers,2_Pointers_Attempted,2_Point_%,effective_Field_Goal_%,Free_Throws,Free_Throws_Attempted,Free_Throw_%,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points
2017,Malcolm Brogdon,Shooting Guard,24,Milwaukee,75,28,26.4,3.9,8.5,0.457,1.0,2.6,0.40399999999999997,2.8,5.9,0.48,0.518,1.5,1.7,0.865,0.6,2.2,2.8,4.2,1.1,0.2,1.5,1.9,10.2
2017,Aaron Brooks,Point Guard,32,Indiana,65,0,13.8,1.9,4.6,0.40299999999999997,0.7,2.0,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1.0,1.4,5.0
2017,Anthony Brown,Small Forward,24,New Orleans,9,0,15.9,1.6,4.6,0.341,0.7,2.7,0.25,0.9,1.9,0.47100000000000003,0.415,0.0,0.0,,0.7,2.2,2.9,0.7,0.6,0.1,0.6,1.4,3.8
2017,Anthony Brown,Small Forward,24,Orlando,2,0,8.0,2.0,4.5,0.444,0.5,1.5,0.33299999999999996,1.5,3.0,0.5,0.5,0.0,0.0,,1.0,2.5,3.5,1.0,0.0,0.0,0.5,1.0,4.5
2017,Bobby Brown,Point Guard,32,Houston,25,0,4.9,0.9,2.4,0.38299999999999995,0.6,1.4,0.4,0.4,1.0,0.36,0.5,0.1,0.1,1.0,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.2,2.5
2017,Jaylen Brown,Small Forward,20,Boston,78,20,17.2,2.5,5.4,0.45399999999999996,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6
2017,Nicolas Brussino,Small Forward,23,Dallas,54,2,9.6,1.0,2.6,0.369,0.5,1.8,0.305,0.4,0.9,0.5,0.47200000000000003,0.3,0.4,0.773,0.5,1.3,1.8,0.9,0.3,0.1,0.5,0.8,2.8
2017,Reggie Bullock,Small Forward,25,Detroit,31,5,15.1,1.7,4.1,0.42200000000000004,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.7140000000000001,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5
2017,Trey Burke,Point Guard,24,Washington,57,0,12.3,2.0,4.5,0.455,0.5,1.2,0.44299999999999995,1.5,3.2,0.45899999999999996,0.516,0.4,0.5,0.759,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5.0
2017,Alec Burks,Shooting Guard,25,Utah,42,0,15.5,2.4,5.9,0.39899999999999997,0.6,1.8,0.32899999999999996,1.8,4.1,0.43,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7
